Problem,Algorithm,n_Var,n_Obj,IGD,HV,Time (s)
ZDT1,Improved NSGA-II,30,2,0.00490109965436401,0.8702749609239654,1.5934414863586426
ZDT1,Improved NSGA-II,30,2,0.004340482078617458,0.8707982139331545,1.5766048431396484
ZDT1,Improved NSGA-II,30,2,0.004742437669771394,0.8709502360429154,1.6346139907836914
ZDT1,Improved NSGA-II,30,2,0.004697231480422114,0.8706935037495434,1.4985017776489258
ZDT1,Improved NSGA-II,30,2,0.004450630645303037,0.8708371264881725,1.5350334644317627
ZDT1,Improved NSGA-II,30,2,0.00457180052443857,0.8709015873039769,1.5675208568572998
ZDT1,Improved NSGA-II,30,2,0.0047329056114040115,0.8711652822298194,1.5835680961608887
ZDT1,Improved NSGA-II,30,2,0.00538614712365827,0.8701930164197379,1.5079357624053955
ZDT1,Improved NSGA-II,30,2,0.004466225815949623,0.8709813755765365,1.480515718460083
ZDT1,Improved NSGA-II,30,2,0.004675794427455954,0.871098216543813,1.4983196258544922
ZDT2,Improved NSGA-II,30,2,0.004718026384069147,0.5377467149109006,1.5358648300170898
ZDT2,Improved NSGA-II,30,2,0.004508860057542213,0.5374797957269294,1.6300725936889648
ZDT2,Improved NSGA-II,30,2,0.005180268535950787,0.5368344569282427,1.5661520957946777
ZDT2,Improved NSGA-II,30,2,0.0044908036821320755,0.5378353328399934,1.5439646244049072
ZDT2,Improved NSGA-II,30,2,0.006021775916070315,0.5357831645108667,1.518808364868164
ZDT2,Improved NSGA-II,30,2,0.004977381756995609,0.5373989295572613,1.5238981246948242
ZDT2,Improved NSGA-II,30,2,0.004529951887517053,0.5377755587670434,1.4841852188110352
ZDT2,Improved NSGA-II,30,2,0.004693709770178728,0.537659598451297,1.4847850799560547
ZDT2,Improved NSGA-II,30,2,0.004770870393821621,0.537482016017871,1.5077803134918213
ZDT2,Improved NSGA-II,30,2,0.004596572039015539,0.5378578664304523,1.562497615814209
ZDT3,Improved NSGA-II,30,2,0.005110235375917051,1.0236206570790927,1.5471413135528564
ZDT3,Improved NSGA-II,30,2,0.004617506804623511,1.0235829433386558,1.5050885677337646
ZDT3,Improved NSGA-II,30,2,0.004977119212857315,1.0235786896683703,1.510462760925293
ZDT3,Improved NSGA-II,30,2,0.005101693869029556,1.0235659403424247,1.6099779605865479
ZDT3,Improved NSGA-II,30,2,0.00576498549841818,1.0234399680907251,1.5994064807891846
ZDT3,Improved NSGA-II,30,2,0.007974927430385062,1.0221080283285837,1.5193727016448975
ZDT3,Improved NSGA-II,30,2,0.0049420634278258,1.0234468502090974,1.5769989490509033
ZDT3,Improved NSGA-II,30,2,0.004928583294309445,1.0235176569468312,1.5341434478759766
ZDT3,Improved NSGA-II,30,2,0.01327750390433733,1.0168023231936847,1.5410349369049072
ZDT3,Improved NSGA-II,30,2,0.004903379774070718,1.023428571014333,1.572357416152954
ZDT4,Improved NSGA-II,10,2,0.006017948553738954,0.8659529654882308,1.784841537475586
ZDT4,Improved NSGA-II,10,2,0.004229543112958474,0.8695518675424829,1.7376251220703125
ZDT4,Improved NSGA-II,10,2,0.004738492664057218,0.8700696461453442,1.8151726722717285
ZDT4,Improved NSGA-II,10,2,0.12712713224550223,0.6839430254353139,1.7840306758880615
ZDT4,Improved NSGA-II,10,2,0.004873969342658664,0.8686152992445649,1.7536702156066895
ZDT4,Improved NSGA-II,10,2,0.005545576504619466,0.8669766058305777,1.7978136539459229
ZDT4,Improved NSGA-II,10,2,0.006081723211825664,0.866230206319002,1.7808001041412354
ZDT4,Improved NSGA-II,10,2,0.015181752757806788,0.8514712696477463,1.7896461486816406
ZDT4,Improved NSGA-II,10,2,0.10838982788441485,0.688559585151827,1.8485279083251953
ZDT4,Improved NSGA-II,10,2,0.007955572963364684,0.8623156427904305,1.8157074451446533
ZDT6,Improved NSGA-II,10,2,0.0035057981655252945,0.4325187573090793,1.5440006256103516
ZDT6,Improved NSGA-II,10,2,0.0034113708676079472,0.4323815689405416,1.4882559776306152
ZDT6,Improved NSGA-II,10,2,0.003352821814329057,0.431897832567288,1.473684549331665
ZDT6,Improved NSGA-II,10,2,0.003949934989806073,0.43184398802848667,1.4744257926940918
ZDT6,Improved NSGA-II,10,2,0.007133362155625075,0.4285387546333304,1.5032808780670166
ZDT6,Improved NSGA-II,10,2,0.004008641362757039,0.43230173567064767,1.4805102348327637
ZDT6,Improved NSGA-II,10,2,0.00339697113845437,0.4325144569736987,1.5558245182037354
ZDT6,Improved NSGA-II,10,2,0.018321945196001152,0.4146981389963335,1.6167986392974854
ZDT6,Improved NSGA-II,10,2,0.0037155279254784505,0.43244335325943184,1.48856520652771
ZDT6,Improved NSGA-II,10,2,0.003910579927818208,0.43178428098878,1.636488676071167
